"","Player","DEFÂ.RTG","DREB","DREB.","X.DREB","STL","STL.","BLK","X.BLK","OPPÂ.PTS_OFF.TOV","OPPÂ.PTS.2NDÂ.CHANCE","OPPÂ.PTS.FB","OPPÂ.PTS.PAINT","DEF.WS","Cluster_Number"
"1","Giannis Antetokounmpo",96.5,11.5,0.305,0.407,1,21.1,1,0.236,9,6.7,7.8,23.5,0.206,1
"2","Justise Winslow",99.9,5.2,0.154,0.214,0.6,11.9,0.5,0.135,12.2,7.7,9.6,27.6,0.18,2
"3","Khris Middleton",99.6,5.5,0.156,0.207,0.9,19.1,0.1,0.034,9,6.4,8.1,22.1,0.172,2
"6","LeBron James",103,6.9,0.187,0.263,1.2,20.2,0.5,0.095,12.3,8.4,12.1,32.3,0.163,2
"7","Joel Embiid",101.4,9,0.278,0.387,0.9,18.1,1.3,0.403,10.1,7,8.6,26.7,0.158,1
"9","Jayson Tatum",103.5,6.1,0.168,0.242,1.4,22.2,0.9,0.215,9.9,9.3,9.2,30.2,0.156,2
"10","Pascal Siakam",104,6.5,0.166,0.245,1,14.7,0.9,0.285,11.5,9.3,8.7,31.6,0.155,2
"14","Kyle Lowry",105,4.3,0.108,0.159,1.3,19.7,0.4,0.12,12.6,10,9.8,32.2,0.15,3
"15","Fred VanVleet",104.8,3.4,0.087,0.13,1.9,29.7,0.3,0.078,12.4,10.1,9.3,30.3,0.147,3
"16","Dennis Schroder",103.1,3.4,0.1,0.151,0.7,14,0.2,0.062,10.2,8.2,6.6,30.7,0.147,2
"17","Zion Williamson",103.1,3.9,0.114,0.161,0.8,16,0.5,0.145,12.1,7.3,10.6,31.9,0.143,2
"18","Marcus Smart",104.3,3.1,0.089,0.129,1.6,27,0.5,0.138,9.6,9.1,8.4,27.8,0.14,2
"20","Gordon Hayward",104.9,5.5,0.156,0.228,0.8,13,0.4,0.116,9.6,9.8,9.3,30.5,0.138,2
"22","Kawhi Leonard",104.3,6.3,0.18,0.251,1.8,36.2,0.6,0.187,10.5,7.2,9.3,27.8,0.135,2
"23","Anthony Davis",105.6,7.1,0.197,0.278,1.5,23.2,2.4,0.482,12.7,8.4,12.9,33,0.135,1
"24","Josh Richardson",104.2,2.6,0.08,0.117,0.9,18.8,0.7,0.187,9.3,7.7,8.3,29.6,0.133,2
"25","Russell Westbrook",106.7,6.3,0.16,0.241,1.7,23.9,0.3,0.085,12.8,10.2,11.5,39.3,0.133,3
"27","Ben Simmons",106.9,5.8,0.158,0.219,2.1,33.8,0.6,0.147,12.1,8.8,10.6,35.2,0.127,3
"28","Domantas Sabonis",106.8,9.4,0.262,0.383,0.8,14.4,0.5,0.149,10.2,8.5,9.7,33.5,0.123,1
"29","Tobias Harris",106.7,5.9,0.171,0.233,0.8,13.1,0.5,0.146,11,7.6,9.8,34.1,0.122,2
"30","Joe Ingles",105.1,3.6,0.114,0.162,0.9,22.4,0.1,0.052,10.3,7.7,7.4,28.9,0.122,2
"31","Rudy Gobert",106.8,10.3,0.279,0.388,0.8,17.9,2,0.693,12.2,8.5,9.4,32.4,0.122,1
"33","Jaylen Brown",106.9,5.3,0.148,0.215,1.1,19.9,0.3,0.087,10.1,9.1,9.2,31,0.119,2
"34","Jonathan Isaac",105.2,5.2,0.174,0.246,1.6,28.1,2.4,0.605,8.4,7.3,7.5,27.1,0.119,1
"35","OG Anunoby",105.5,4.2,0.134,0.195,1.4,24,0.7,0.253,10.2,8.5,8,27,0.119,2
"36","Malcolm Brogdon",105.7,3.9,0.123,0.179,0.7,14.5,0.2,0.05,9.5,7.5,8.3,30.2,0.118,2
"38","Al Horford",106,5.3,0.17,0.234,0.9,16.5,0.9,0.286,10,7.1,8.7,31,0.117,2
"41","Will Barton",106.9,5,0.147,0.217,1.1,18.2,0.5,0.159,10.1,8.7,8.1,33.7,0.115,2
"42","Jamal Murray",107,3.2,0.097,0.14,1.2,22.5,0.3,0.105,10.6,7.3,8.3,32.6,0.113,2
"43","James Harden",108.2,5.3,0.132,0.198,1.7,26.8,0.9,0.215,13.3,10.8,12.5,37.8,0.113,3
"47","Bam Adebayo",107.7,8,0.224,0.31,1.2,23.8,1.3,0.423,11.9,8.4,7.5,30.9,0.111,1
"48","Duncan Robinson",106.2,3.1,0.101,0.14,0.5,12.5,0.2,0.084,10.9,6.6,7.4,26.8,0.111,2
"49","Clint Capela",107.4,9.5,0.265,0.386,0.8,15.4,1.8,0.49,12.8,9.1,11.5,35.8,0.111,1
"52","Gary Harris",107.1,2.4,0.077,0.113,1.4,24.6,0.3,0.093,10.4,7.9,8.2,31.5,0.109,2
"53","T.J. Warren",107.4,3,0.088,0.13,1.1,23.2,0.4,0.123,9.9,7.9,9.1,32.7,0.109,2
"54","Myles Turner",106.2,5.3,0.171,0.251,0.8,16.3,2.2,0.585,8.8,7.3,8.8,27.7,0.109,1
"55","Kristaps Porzingis",107.1,7.7,0.222,0.315,0.7,16.2,2.1,0.57,9.1,8.1,11,28,0.109,1
"61","Chris Paul",107.6,4.6,0.141,0.206,1.6,27.8,0.1,0.049,9.5,7.8,6.9,31.2,0.105,2
"63","Bojan Bogdanovic",108,3.5,0.1,0.138,0.5,13.9,0.1,0.042,12,8.2,9.3,31.6,0.105,2
"64","Nikola Jokic",107.7,7.8,0.244,0.352,1.2,21.6,0.7,0.23,10,7.9,8.3,32,0.104,1
"67","Jimmy Butler",108.5,4.8,0.137,0.191,1.7,31.1,0.5,0.188,10.9,8.4,7.7,31.4,0.103,2
"68","Lauri Markkanen",107.3,5.1,0.174,0.252,0.8,14.1,0.5,0.183,11.7,7.9,7.7,31.4,0.102,2
"69","Deandre Ayton",108.4,7.9,0.229,0.337,0.7,13.1,1.7,0.505,11.4,8.6,9.8,34,0.102,1
"70","Ricky Rubio",108.2,3.9,0.124,0.174,1.5,29.9,0.2,0.059,10.7,7.9,8.4,32.4,0.1,2
"71","Donovan Mitchell",109,3.7,0.102,0.144,1,24.6,0.2,0.071,11.9,8.4,9.2,32.9,0.1,2
"75","Shai Gilgeous-Alexander",109.4,5.4,0.149,0.216,1.1,19.7,0.7,0.205,11.3,9.3,7.3,37,0.098,2
"76","P.J. Tucker",109.2,5.3,0.143,0.214,1.1,18.3,0.5,0.129,12.3,10.1,11.7,35.8,0.097,3
"79","Kemba Walker",108.5,3.4,0.104,0.154,0.9,17.2,0.5,0.135,9.1,8.7,9.3,28.6,0.097,2
"82","Joe Harris",108.3,3.4,0.1,0.141,0.6,14.8,0.3,0.085,9.6,7.4,9,31.5,0.095,2
