,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE
1,Maxi Kleber,DAL,28,66,39,27,25.7,111.9,107.9,4.1,0.064,1.6,12.3,0.053,0.14,0.096,7.7,0.574,0.603,0.134,101.26,8.5
1,Langston Galloway,DET,28,66,20,46,25.8,107.7,112.1,-4.4,0.089,2.53,14.3,0.019,0.068,0.043,5.7,0.557,0.584,0.149,100.17,7.5
1,Bobby Portis,NYK,25,66,21,45,21.1,102.3,110.2,-7.9,0.112,1.34,12.3,0.053,0.18,0.114,9.1,0.507,0.53,0.207,101.25,10.8
4,Miles Bridges,CHA,22,65,23,42,30.7,104.4,114,-9.7,0.092,1.2,11.2,0.042,0.138,0.088,9.3,0.489,0.52,0.196,97.15,8.2
4,Coby White,CHI,20,65,22,43,25.8,104.4,108.8,-4.4,0.162,1.61,15.5,0.015,0.128,0.067,9.7,0.478,0.506,0.235,102.51,8.7
4,Tomas Satoransky,CHI,28,65,22,43,28.9,107.3,108.8,-1.5,0.269,2.72,32.6,0.04,0.101,0.069,12,0.488,0.533,0.165,100.82,9.4
4,Collin Sexton,CLE,21,65,19,46,33,107.8,117,-9.2,0.146,1.22,12.4,0.028,0.069,0.048,10.2,0.517,0.56,0.264,100.37,9.5
4,Cedi Osman,CLE,25,65,19,46,29.4,106.3,115.2,-9,0.115,1.69,17.2,0.02,0.103,0.06,10.2,0.538,0.552,0.162,100.3,6.5
4,Delon Wright,DAL,28,65,39,26,21.7,110.8,108.8,1.9,0.217,3.24,31,0.042,0.126,0.084,9.6,0.529,0.563,0.143,101.5,11
4,Monte Morris,DEN,25,65,43,22,21.6,109.2,107.5,1.7,0.232,5.11,29.4,0.014,0.063,0.038,5.7,0.514,0.537,0.165,99.98,10
4,Nikola Jokic,DEN,25,65,43,22,32.3,112.9,107.7,5.2,0.343,2.21,25.7,0.075,0.244,0.16,11.6,0.565,0.604,0.267,96.88,18.2
4,Justin Holiday,IND,31,65,39,26,24.9,108.2,106.3,1.9,0.071,2.17,14.9,0.018,0.101,0.06,6.8,0.581,0.598,0.13,102.37,7.8
4,Dillon Brooks,MEM,24,65,32,33,28.5,108.6,108.9,-0.3,0.1,1.19,10.4,0.031,0.075,0.054,8.8,0.474,0.508,0.245,103.35,6
4,Tyus Jones,MEM,24,65,32,33,19,106.9,109.2,-2.3,0.314,5.18,35.9,0.007,0.071,0.038,6.9,0.514,0.532,0.165,106.4,10.8
