,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Plus_Minus
198,Maxi Kleber,DAL,28,66,39,27,25.7,9.2,3.2,7.1,0.459,1.6,4.3,0.374,1,1.2,0.863,1.5,3.9,5.4,1.2,0.7,0.3,1.2,2.3,21.1,2,0,1.9
166,Langston Galloway,DET,28,66,20,46,25.8,10.3,3.6,8.2,0.435,2,5,0.399,1.1,1.3,0.859,0.5,1.8,2.3,1.5,0.6,0.7,0.2,1.5,17.3,0,0,-2.2
171,Bobby Portis,NYK,25,66,21,45,21.1,10.1,4,8.9,0.45,1,2.8,0.358,1.1,1.4,0.763,1.2,3.9,5.1,1.5,1.1,0.5,0.3,1.7,19.7,5,0,-2.9
110,Miles Bridges,CHA,22,65,23,42,30.7,13,4.9,11.6,0.424,1.5,4.6,0.33,1.6,2,0.809,1.4,4.2,5.6,1.8,1.5,0.6,0.7,2,24.9,4,0,-6.1
107,Coby White,CHI,20,65,22,43,25.8,13.2,4.8,12.2,0.394,2,5.8,0.354,1.6,2,0.791,0.4,3.1,3.5,2.7,1.7,0.8,0.1,1.8,22.4,0,0,-2.5
178,Tomas Satoransky,CHI,28,65,22,43,28.9,9.9,3.6,8.5,0.43,1,3.1,0.322,1.6,1.9,0.876,1.2,2.7,3.9,5.4,2,1.2,0.1,2.1,24.8,3,0,-1.1
30,Collin Sexton,CLE,21,65,19,46,33,20.8,7.9,16.7,0.472,1.5,3.9,0.38,3.5,4.1,0.846,0.9,2.2,3.1,3,2.4,1,0.1,2.2,29.8,0,0,-6.1
146,Cedi Osman,CLE,25,65,19,46,29.4,11,4.1,9.4,0.437,1.9,4.9,0.383,1,1.4,0.67,0.6,3,3.6,2.4,1.4,0.8,0.2,2.5,20.7,2,0,-5.4
254,Delon Wright,DAL,28,65,39,26,21.7,7.3,2.8,5.9,0.47,0.7,1.8,0.385,1.1,1.4,0.789,1,3,4,3.4,1,1.2,0.3,1.3,20.6,1,0,0.7
36,Nikola Jokic,DEN,25,65,43,22,32.3,20.2,7.9,14.9,0.528,1.1,3.5,0.314,3.4,4.1,0.813,2.4,7.8,10.2,6.9,3.1,1.2,0.7,3.1,45.2,39,12,3.8
213,Monte Morris,DEN,25,65,43,22,21.6,8.4,3.4,7.4,0.459,0.8,2.2,0.375,0.8,1,0.823,0.3,1.4,1.7,3.5,0.7,0.8,0.2,1,18.3,0,0,1
215,Justin Holiday,IND,31,65,39,26,24.9,8.4,2.9,6.6,0.44,1.9,4.4,0.424,0.7,0.9,0.78,0.5,2.7,3.2,1.3,0.6,1.2,0.6,1.8,19,0,0,0.8
77,Dillon Brooks,MEM,24,65,32,33,28.5,15.7,5.7,14.2,0.402,2,5.5,0.369,2.2,2.7,0.809,0.9,2.3,3.3,2,1.7,0.9,0.4,3.8,24.7,0,0,-0.6
246,Tyus Jones,MEM,24,65,32,33,19,7.4,3,6.6,0.459,0.7,1.9,0.379,0.7,0.9,0.741,0.1,1.4,1.6,4.4,0.8,0.9,0.1,0.7,18.1,0,0,-0.8
72,Bam Adebayo,MIA,22,65,41,24,34.4,16.2,6.3,11.1,0.567,0,0.2,0.077,3.6,5.3,0.69,2.5,8,10.5,5.1,2.8,1.2,1.3,2.5,41.2,39,3,3.2
106,Duncan Robinson,MIA,26,65,41,24,30,13.3,4.4,9.4,0.467,3.7,8.4,0.448,0.7,0.8,0.906,0.1,3.1,3.3,1.4,0.9,0.5,0.2,2.8,20.7,1,0,4.8
274,Kevin Knox II,NYK,20,65,21,44,17.9,6.4,2.2,6.2,0.359,1,3.1,0.327,1,1.6,0.653,0.4,2.4,2.8,0.9,0.7,0.4,0.4,1.6,12.9,0,0,-2.8
42,Tobias Harris,PHI,27,65,39,26,34.5,19.4,7.6,16.1,0.472,1.8,5,0.362,2.4,2.9,0.806,0.8,5.9,6.8,3.2,1.5,0.8,0.5,2.3,34.6,10,0,2
208,Mikal Bridges,PHX,23,65,26,39,27.3,8.7,3.2,6.3,0.516,0.9,2.4,0.352,1.4,1.6,0.848,0.9,3.1,4,1.8,1,1.4,0.6,2.2,21.2,1,0,0.7
206,Anfernee Simons,POR,21,65,28,37,21.5,8.8,3.2,8.1,0.402,1.1,3.4,0.338,1.2,1.4,0.826,0.4,1.9,2.3,1.5,0.9,0.4,0.2,2,14.4,1,0,-4.1
155,Jarrett Allen,BKN,22,64,30,34,25.7,10.6,4.2,6.5,0.646,0,0.1,0,2.3,3.7,0.62,3,6.4,9.5,1.3,1.1,0.6,1.3,2.3,28.6,26,0,0.5
126,Taurean Prince,BKN,26,64,30,34,29,12.1,4.3,11.5,0.376,2.3,6.7,0.339,1.1,1.4,0.798,0.8,5.2,6,1.8,2,0.9,0.4,2.5,23.8,8,0,1.1
31,Spencer Dinwiddie,BKN,27,64,30,34,31.2,20.6,6.6,16,0.415,1.9,6.3,0.308,5.4,7,0.778,0.5,3,3.5,6.8,2.7,0.6,0.3,2.8,35,9,0,0.8
165,Thaddeus Young,CHI,32,64,22,42,24.9,10.3,4.2,9.4,0.448,1.2,3.5,0.356,0.7,1.1,0.583,1.5,3.5,4.9,1.8,1.6,1.4,0.4,2.1,22.7,2,0,-3.3
193,Dorian Finney-Smith,DAL,27,64,38,26,29.7,9.3,3.3,7.1,0.468,1.5,4.1,0.374,1.1,1.5,0.722,2,3.5,5.5,1.5,1,0.7,0.6,2.4,21,3,0,4.2
138,Jerami Grant,DEN,26,64,42,22,26.2,11.6,4.1,8.7,0.471,1.4,3.4,0.4,2,2.7,0.744,0.8,2.7,3.5,1.2,0.9,0.7,0.8,2.2,21.3,0,0,-1.2
259,P.J. Tucker,HOU,35,64,40,24,34.4,7.1,2.5,5.8,0.433,1.5,4,0.37,0.6,0.7,0.841,1.6,5.3,6.9,1.6,1,1.1,0.5,3.3,21.4,6,0,2.3
228,Ivica Zubac,LAC,23,64,44,20,18.1,8,3.2,5.3,0.601,0,0,0,1.7,2.2,0.759,2.6,4.6,7.2,1.1,0.8,0.2,0.9,2.3,20.8,7,0,2.8
40,Julius Randle,NYK,25,64,21,43,32.5,19.5,7.2,15.7,0.46,1,3.6,0.277,4,5.5,0.733,2.4,7.4,9.7,3.1,3,0.8,0.3,2.8,36.2,30,0,-3.8
127,Markelle Fultz,ORL,22,64,30,34,28.3,12.1,5,10.6,0.473,0.5,1.8,0.254,1.6,2.2,0.723,0.5,2.8,3.3,5.2,2,1.3,0.2,2,26.2,3,1,-0.8
182,Furkan Korkmaz,PHI,22,64,38,26,21.8,9.7,3.5,8,0.432,2,5,0.397,0.8,1.1,0.736,0.3,2.1,2.3,1.1,0.8,0.6,0.2,1.4,15.7,0,0,1.4
37,Buddy Hield,SAC,27,64,28,36,32,19.8,7.1,16.6,0.429,3.8,9.7,0.395,1.8,2,0.855,0.9,3.9,4.8,3.1,2.3,0.9,0.3,2.3,31.4,2,0,-0.8
91,Harrison Barnes,SAC,28,64,28,36,34.9,14.7,5.1,11.1,0.459,1.5,3.8,0.383,3.1,3.8,0.803,1,3.8,4.8,2.4,1.3,0.6,0.2,1.3,25,3,0,-0.8
280,Cory Joseph,SAC,28,64,28,36,24,6.3,2.4,5.8,0.42,0.7,2.1,0.351,0.8,0.9,0.828,0.6,2,2.5,3.4,1,0.7,0.3,1.9,16.6,0,0,-0.7
207,Kent Bazemore,SAC,30,64,31,33,25.1,8.7,2.9,7.7,0.374,1.2,3.6,0.342,1.7,2.2,0.768,0.4,4,4.3,1.3,1.3,1.1,0.6,2.8,19.7,0,0,0.4
134,Nemanja Bjelica,SAC,32,64,28,36,28.5,11.9,4.5,9.4,0.475,2,4.6,0.424,0.9,1.1,0.822,1.7,4.8,6.4,2.8,1.4,0.8,0.5,3,26.4,8,0,-0.6
