Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance,2P_% of FG Ast'd,3P_% of FG Ast'd,%FGA_Dunks,#_Dunks,%3PA_Corner 3s,3P%_Corner 3s
1,Steven Adams,C,26,OKC,58,1564,0.591,4.3,0.993,0.53,0.388,0.072,0.002,0.007,0.593,0.745,0.39,0.563,1,0.333,0.67,1,0.181,74,0.333,0
2,Bam Adebayo,PF,22,MIA,65,2235,0.567,5.7,0.982,0.483,0.303,0.149,0.047,0.018,0.576,0.735,0.454,0.421,0.235,0.077,0.717,1,0.224,146,0.615,0.125
3,LaMarcus Aldridge,C,34,SAS,53,1754,0.493,13.7,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.719,0.471,0.461,0.433,0.389,0.567,0.951,0.044,31,0.185,0.379
4,Nickeil Alexander-Walker,SG,21,NOP,41,501,0.339,16.3,0.485,0.229,0.172,0.057,0.026,0.515,0.336,0.462,0.205,0.231,0.333,0.342,0.135,0.9,0.004,1,0.188,0.364
5,Grayson Allen,SG,24,MEM,30,498,0.449,15.7,0.483,0.188,0.199,0.091,0.006,0.517,0.541,0.758,0.4,0.438,0,0.363,0.587,0.97,0.063,10,0.275,0.48
6,Jarrett Allen,C,21,BRK,64,1647,0.646,2.4,0.988,0.772,0.201,0.012,0.002,0.012,0.654,0.737,0.373,0.2,0,0,0.79,,0.472,165,0.8,0
7,Kadeem Allen,SG,27,NYK,10,117,0.432,15.1,0.636,0.159,0.182,0.227,0.068,0.364,0.5,0.571,0.375,0.6,0.333,0.313,0.286,0.8,0,0,0.313,0.4
8,Al-Farouq Aminu,PF,29,ORL,18,380,0.291,13.3,0.581,0.267,0.244,0,0.07,0.419,0.32,0.435,0.19,,0.333,0.25,0.438,0.889,0.012,1,0.222,0.375
9,Justin Anderson,SF,26,BRK,3,17,0.167,13.7,0.5,0.5,0,0,0,0.5,0.333,0.333,,,,0,1,,0.167,1,0.333,0
10,Kyle Anderson,PF,26,MEM,59,1140,0.493,11.1,0.779,0.286,0.261,0.132,0.1,0.221,0.56,0.65,0.548,0.432,0.5,0.258,0.574,1,0.036,10,0.613,0.237
11,Ryan Anderson,PF,31,HOU,2,14,0.286,21.4,0.286,0.143,0,0.143,0,0.714,0.5,0,,1,,0.2,0,1,0,0,0,
12,Giannis Antetokounmpo,PF,25,MIL,57,1763,0.547,9.9,0.762,0.478,0.161,0.072,0.051,0.238,0.622,0.767,0.344,0.427,0.414,0.306,0.433,0.59,0.164,174,0.037,0.5
13,Kostas Antetokounmpo,PF,22,LAL,3,5,,,,,,,,,,,,,,,,,,0,,
14,Thanasis Antetokounmpo,SF,27,MIL,18,93,0.528,6.7,0.806,0.722,0.028,0.056,0,0.194,0.655,0.654,0,1,,0,0.526,,0.222,8,0.429,0
15,Carmelo Anthony,PF,35,POR,50,1623,0.426,14.5,0.714,0.197,0.1,0.227,0.19,0.286,0.447,0.537,0.441,0.422,0.388,0.371,0.396,0.931,0.032,15,0.186,0.528
16,OG Anunoby,SF,22,TOR,63,1897,0.507,11.6,0.592,0.454,0.108,0.021,0.009,0.408,0.593,0.686,0.281,0.364,0.2,0.381,0.643,0.951,0.156,79,0.488,0.371
17,Ryan Arcidiacono,PG,25,CHI,58,930,0.409,18.4,0.373,0.15,0.1,0.1,0.023,0.627,0.439,0.606,0.318,0.318,0.4,0.391,0.5,0.889,0,0,0.29,0.475
