"","Player","FG.","Dist.","X2P_..of.FGA.by.Distance","X0.3_..of.FGA.by.Distance","X3.10_..of.FGA.by.Distance","X10.16_..of.FGA.by.Distance","X16.3P_..of.FGA.by.Distance","X3P_..of.FGA.by.Distance","X2P_FG..by.Distance","X0.3_FG..by.Distance","X3.10_FG..by.Distance","X10.16_FG..by.Distance","X16.3P_FG..by.Distance","X3P_FG..by.Distance","X2P_..of.FG.Ast.d","X3P_..of.FG.Ast.d","X.FGA_Dunks","X._Dunks","X.3PA_Corner.3s","X3P._Corner.3s","Cluster_Number"
"2","Bam Adebayo",0.567,5.7,0.982,0.483,0.303,0.149,0.047,0.018,0.576,0.735,0.454,0.421,0.235,0.077,0.717,1,0.224,146,0.615,0.125,2
"3","LaMarcus Aldridge",0.493,13.7,0.802,0.202,0.129,0.227,0.245,0.198,0.519,0.719,0.471,0.461,0.433,0.389,0.567,0.951,0.044,31,0.185,0.379,3
"12","Giannis Antetokounmpo",0.547,9.9,0.762,0.478,0.161,0.072,0.051,0.238,0.622,0.767,0.344,0.427,0.414,0.306,0.433,0.59,0.164,174,0.037,0.5,2
"15","Carmelo Anthony",0.426,14.5,0.714,0.197,0.1,0.227,0.19,0.286,0.447,0.537,0.441,0.422,0.388,0.371,0.396,0.931,0.032,15,0.186,0.528,3
"16","OG Anunoby",0.507,11.6,0.592,0.454,0.108,0.021,0.009,0.408,0.593,0.686,0.281,0.364,0.2,0.381,0.643,0.951,0.156,79,0.488,0.371,1
"20","Deandre Ayton",0.548,6.3,0.994,0.471,0.23,0.194,0.099,0.006,0.552,0.703,0.449,0.411,0.348,0,0.729,0,0.163,67,0,0,2
"23","Lonzo Ball",0.412,17.8,0.422,0.213,0.08,0.049,0.081,0.578,0.453,0.619,0.26,0.323,0.294,0.383,0.417,0.82,0.025,15,0.212,0.377,1
"26","Harrison Barnes",0.459,12,0.658,0.286,0.281,0.063,0.028,0.342,0.498,0.69,0.365,0.311,0.3,0.383,0.519,0.871,0.041,26,0.35,0.341,1
"27","RJ Barrett",0.402,10.7,0.729,0.392,0.201,0.065,0.072,0.271,0.432,0.568,0.267,0.277,0.288,0.32,0.354,0.937,0.056,35,0.299,0.356,1
"28","Will Barton",0.45,13.5,0.61,0.286,0.186,0.079,0.06,0.39,0.498,0.616,0.328,0.414,0.568,0.375,0.393,0.704,0.037,25,0.122,0.486,1
