"","PLAYER","PTS","FGM","FGA","FG.","X3PM","X3PA","X3P.","FTM","FTA","FT.","OREB","DREB","REB","AST","TOV","STL","BLK","PF","Plus_Minus","OFFRTG","DEFRTG","NETRTG","AST.","AST.TO","ASTÂ.Ratio","OREB.","DREB.","REB.","TOÂ.Ratio","eFG.","TS.","USG.","PIE","Cluster_Number"
"4","Miles Bridges",13,4.9,11.6,0.424,1.5,4.6,0.33,1.6,2,0.809,1.4,4.2,5.6,1.8,1.5,0.6,0.7,2,-6.1,104.4,114,-9.7,0.092,1.2,11.2,0.042,0.138,0.088,9.3,0.489,0.52,0.196,8.2,2
"7","Collin Sexton",20.8,7.9,16.7,0.472,1.5,3.9,0.38,3.5,4.1,0.846,0.9,2.2,3.1,3,2.4,1,0.1,2.2,-6.1,107.8,117,-9.2,0.146,1.22,12.4,0.028,0.069,0.048,10.2,0.517,0.56,0.264,9.5,2
"8","Cedi Osman",11,4.1,9.4,0.437,1.9,4.9,0.383,1,1.4,0.67,0.6,3,3.6,2.4,1.4,0.8,0.2,2.5,-5.4,106.3,115.2,-9,0.115,1.69,17.2,0.02,0.103,0.06,10.2,0.538,0.552,0.162,6.5,2
"10","Nikola Jokic",20.2,7.9,14.9,0.528,1.1,3.5,0.314,3.4,4.1,0.813,2.4,7.8,10.2,6.9,3.1,1.2,0.7,3.1,3.8,109.2,107.5,1.7,0.232,5.11,29.4,0.014,0.063,0.038,5.7,0.514,0.537,0.165,10,3
"15","Bam Adebayo",16.2,6.3,11.1,0.567,0,0.2,0.077,3.6,5.3,0.69,2.5,8,10.5,5.1,2.8,1.2,1.3,2.5,3.2,112.3,107.7,4.6,0.232,1.8,24,0.078,0.224,0.154,13.3,0.568,0.606,0.208,14.9,1
"16","Duncan Robinson",13.3,4.4,9.4,0.467,3.7,8.4,0.448,0.7,0.8,0.906,0.1,3.1,3.3,1.4,0.9,0.5,0.2,2.8,4.8,113.9,106.2,7.7,0.067,1.52,11.7,0.005,0.101,0.055,7.7,0.665,0.678,0.154,7.9,2
"18","Tobias Harris",19.4,7.6,16.1,0.472,1.8,5,0.362,2.4,2.9,0.806,0.8,5.9,6.8,3.2,1.5,0.8,0.5,2.3,2,109.7,106.7,3,0.145,2.11,14.4,0.024,0.171,0.097,6.8,0.528,0.557,0.234,12.4,2
"23","Spencer Dinwiddie",20.6,6.6,16,0.415,1.9,6.3,0.308,5.4,7,0.778,0.5,3,3.5,6.8,2.7,0.6,0.3,2.8,0.8,110.5,109.4,1.1,0.344,2.48,23.8,0.015,0.085,0.051,9.6,0.476,0.541,0.287,12.1,3
"25","Dorian Finney-Smith",9.3,3.3,7.1,0.468,1.5,4.1,0.374,1.1,1.5,0.722,2,3.5,5.5,1.5,1,0.7,0.6,2.4,4.2,116.2,109.1,7.1,0.069,1.54,14.7,0.064,0.11,0.088,9.5,0.577,0.597,0.126,7.1,2
"27","P.J. Tucker",7.1,2.5,5.8,0.433,1.5,4,0.37,0.6,0.7,0.841,1.6,5.3,6.9,1.6,1,1.1,0.5,3.3,2.3,112.2,109.2,3,0.06,1.51,17.9,0.042,0.143,0.092,11.9,0.56,0.58,0.086,6,2
